Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Date/time
2.824000,0.510934,0.000419,0.000236,-95.660000,35000,04-09-2024 16:47:17
2.839000,0.510934,0.000425,0.000241,-95.660000,35000,04-09-2024 16:47:18
2.758000,0.510934,0.000435,0.000252,-95.660000,35000,04-09-2024 16:47:18
2.891000,0.510934,0.000450,0.000263,-95.660000,35000,04-09-2024 16:47:19
2.753000,0.510934,0.000470,0.000265,-95.660000,35000,04-09-2024 16:47:20
2.822000,0.510934,0.000490,0.000258,-95.660000,35000,04-09-2024 16:47:20
2.843000,0.510934,0.000511,0.000251,-95.660000,35000,04-09-2024 16:47:21
2.758000,0.510934,0.000529,0.000246,-95.660000,35000,04-09-2024 16:47:21
2.868000,0.510934,0.000531,0.000247,-95.660000,35000,04-09-2024 16:47:22
2.753000,0.510934,0.000516,0.000253,-95.660000,35000,04-09-2024 16:47:23
2.820000,0.510934,0.000496,0.000261,-95.660000,35000,04-09-2024 16:47:23
2.846000,0.510934,0.000483,0.000271,-95.660000,35000,04-09-2024 16:47:24
2.750000,0.510934,0.000476,0.000279,-95.660000,35000,04-09-2024 16:47:24
2.866000,0.510934,0.000471,0.000283,-95.660000,35000,04-09-2024 16:47:25
2.787000,0.510934,0.000466,0.000281,-95.660000,35000,04-09-2024 16:47:26
2.818000,0.510934,0.000462,0.000277,-95.660000,35000,04-09-2024 16:47:26
2.895000,0.510934,0.000457,0.000271,-95.660000,35000,04-09-2024 16:47:27
2.750000,0.510934,0.000453,0.000267,-95.660000,35000,04-09-2024 16:47:27
2.864000,0.510934,0.000449,0.000265,-95.660000,35000,04-09-2024 16:47:28
2.789000,0.510934,0.000447,0.000264,-95.660000,35000,04-09-2024 16:47:29
2.756000,0.510934,0.000443,0.000264,-95.660000,35000,04-09-2024 16:47:29
2.896000,0.510934,0.000442,0.000265,-95.660000,35000,04-09-2024 16:47:30
2.750000,0.510934,0.000444,0.000266,-95.660000,35000,04-09-2024 16:47:30
2.861000,0.510934,0.000448,0.000268,-95.660000,35000,04-09-2024 16:47:31
