Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Date/time
2.844000,0.510934,0.000467,0.000181,-95.660000,35000,04-09-2024 16:47:47
2.763000,0.510934,0.000469,0.000198,-95.660000,35000,04-09-2024 16:47:48
2.796000,0.510934,0.000479,0.000215,-95.660000,35000,04-09-2024 16:47:48
2.874000,0.510934,0.000489,0.000230,-95.660000,35000,04-09-2024 16:47:49
2.749000,0.510934,0.000496,0.000243,-95.660000,35000,04-09-2024 16:47:49
2.840000,0.510934,0.000501,0.000249,-95.660000,35000,04-09-2024 16:47:50
2.816000,0.510934,0.000504,0.000248,-95.660000,35000,04-09-2024 16:47:51
2.763000,0.510934,0.000509,0.000246,-95.660000,35000,04-09-2024 16:47:51
2.901000,0.510934,0.000515,0.000250,-95.660000,35000,04-09-2024 16:47:52
2.749000,0.510934,0.000516,0.000254,-95.660000,35000,04-09-2024 16:47:52
2.837000,0.510934,0.000508,0.000264,-95.660000,35000,04-09-2024 16:47:53
2.820000,0.510934,0.000496,0.000276,-95.660000,35000,04-09-2024 16:47:54
2.751000,0.510934,0.000482,0.000290,-95.660000,35000,04-09-2024 16:47:54
2.880000,0.510934,0.000474,0.000297,-95.660000,35000,04-09-2024 16:47:55
2.750000,0.510934,0.000468,0.000299,-95.660000,35000,04-09-2024 16:47:55
2.835000,0.510934,0.000464,0.000297,-95.660000,35000,04-09-2024 16:47:56
2.882000,0.510934,0.000459,0.000289,-95.660000,35000,04-09-2024 16:47:57
2.751000,0.510982,0.000454,0.000282,-95.660000,35000,04-09-2024 16:47:57
2.879000,0.510982,0.000449,0.000277,-95.660000,35000,04-09-2024 16:47:58
2.772000,0.510934,0.000444,0.000273,-95.660000,35000,04-09-2024 16:47:58
2.787000,0.510934,0.000437,0.000271,-95.660000,35000,04-09-2024 16:47:59
2.884000,0.510934,0.000433,0.000268,-95.660000,35000,04-09-2024 16:48:00
2.750000,0.510934,0.000430,0.000265,-95.660000,35000,04-09-2024 16:48:00
2.876000,0.510934,0.000428,0.000261,-95.660000,35000,04-09-2024 16:48:01
2.831000,0.510934,0.000427,0.000257,-95.660000,35000,04-09-2024 16:48:02
2.760000,0.510934,0.000427,0.000257,-95.660000,35000,04-09-2024 16:48:02
2.887000,0.510934,0.000429,0.000261,-95.660000,35000,04-09-2024 16:48:03
